ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
-0.70138156,-1.0976783,0.25146037,1.7627329,0.9416635,-0.26493335,-0.043487933,-0.2456271,-2.5113845,-1.8273978,-2.0561726,-2.0009086,4
-0.7077955,-1.0974609,0.2517232,1.7626325,0.9417426,-0.2649475,-0.043540757,-0.24564399,-2.5117607,-1.8274466,-2.0545552,-2.0005946,4
-0.7095591,-1.0977525,0.2513428,1.7622101,0.9417957,-0.26442793,-0.04307102,-0.2456767,-2.5121362,-1.8273861,-2.052309,-2.0002496,4
-0.70326763,-1.0979003,0.25156298,1.7626289,0.94183415,-0.26460075,-0.042962305,-0.2456464,-2.511218,-1.8273987,-2.0507,-2.0000181,4
-0.6985099,-1.0978916,0.25133917,1.7626529,0.94186294,-0.26471624,-0.043019734,-0.24562374,-2.508937,-1.8270348,-2.04897,-1.9998409,4
-0.6971729,-1.0974797,0.24153337,1.7626057,0.95720285,-0.30952573,-0.05957515,-0.2456668,-2.5074747,-1.8256648,-2.0469973,-1.9976047,4
-0.70260817,-1.0974152,0.23731104,1.7609956,1.0288856,-0.3080059,-0.1311403,-0.24584532,-2.5092728,-1.8245767,-2.0457628,-1.9964943,4
-0.7046026,-1.0978718,0.22197922,1.7549585,1.1272877,-0.34734356,-0.22221908,-0.24638754,-2.5150611,-1.8244474,-2.0444095,-1.9948877,4
-0.68946916,-1.0976231,0.2226014,1.7462474,1.2281758,-0.32583004,-0.3129009,-0.24807303,-2.5105937,-1.823851,-2.042555,-1.9925455,4
-0.66801614,-1.0975393,0.21275882,1.739347,1.3096575,-0.34239239,-0.38603494,-0.24900374,-2.5074272,-1.8230194,-2.0404904,-1.9913821,4
-0.6474263,-1.0975217,0.20621175,1.7309638,1.4332181,-0.3400402,-0.480219,-0.2501237,-2.5011907,-1.8222286,-2.0374193,-1.9908355,4
-0.6342311,-1.0973542,0.18929404,1.7197579,1.5530224,-0.26868936,-0.5676512,-0.25096583,-2.4822228,-1.821662,-2.0339468,-1.989958,4
-0.6261409,-1.0973725,0.18837498,1.7057854,1.6865999,-0.3450365,-0.65723443,-0.25253037,-2.460018,-1.8213874,-2.0309422,-1.9883966,4
-0.63490963,-1.0970621,0.18824369,1.6954023,1.7822899,-0.32359284,-0.7218688,-0.25359562,-2.4699297,-1.8210949,-2.0287805,-1.9870584,4
-0.659676,-1.096631,0.18932137,1.6880453,1.8508468,-0.30863655,-0.76797205,-0.25472736,-2.4731584,-1.8207263,-2.0268373,-1.9852059,4
-0.6775768,-1.0963343,0.19057982,1.6818985,1.8999672,-0.29685766,-0.80187815,-0.2558151,-2.4774048,-1.8206192,-2.0250006,-1.9835572,4
-0.6837217,-1.0961217,0.19027285,1.6796621,1.9351571,-0.28925234,-0.8244794,-0.2562022,-2.4826598,-1.8195821,-2.0234153,-1.9825788,4
-0.691305,-1.0959693,0.19096236,1.6755209,1.9603772,-0.28260997,-0.8419555,-0.2565913,-2.4842732,-1.8173081,-2.0218422,-1.9804615,4
-0.6980441,-1.0958601,0.19030897,1.672665,1.9784435,-0.27809307,-0.8535511,-0.25698522,-2.483658,-1.8149958,-2.0197568,-1.9785463,4
-0.6996853,-1.0957819,0.18751626,1.6739544,1.9913939,-0.27381676,-0.8607812,-0.25636294,-2.4852104,-1.8133193,-2.0174215,-1.976966,4
-0.6979568,-1.0956829,0.18782355,1.6736246,2.0006676,-0.27251038,-0.8665351,-0.25661585,-2.4826534,-1.8120122,-2.0158997,-1.9755353,4
-0.7078146,-1.0956308,0.18808441,1.6710649,2.0073192,-0.2701836,-0.87142354,-0.25663304,-2.481053,-1.8104823,-2.0142722,-1.9745306,4
-0.71775365,-1.0956175,0.18840535,1.6735655,2.012079,-0.26899707,-0.87274307,-0.25639215,-2.4791846,-1.8099742,-2.0116277,-1.9737902,4
-0.7161868,-1.0956081,0.18964286,1.6702322,2.0154881,-0.26784152,-0.8754622,-0.25690603,-2.4777687,-1.8105094,-2.0087218,-1.9732332,4
