Latitude,Longitude,Type,Depth,Magnitude
-1352,-14249,0,21.2,6.5
-8875,120265,0,30.6,6.8
36448,70451,0,212,5.6
43566,146741,0,36.9,7.4
43343,147259,0,33,6.1
43246,147701,0,15,5.9
-6066,113373,0,596,6.3
43203,146986,0,36,5.6
46606,152761,0,35,5.7
16578,-99533,0,25,5.8
43.05,147283,0,23.5,6.6
-135,124145,0,100,5.6
-28.59,-70999,0,45,5.6
46026,152189,0,60,5.6
-5.42,153368,0,30,7.3
-5.48,131.26,0,85,5.7
-5469,153269,0,30,5.7
39368,24957,0,15,7.2
12343,-47.01,0,10,5.8
32066,130712,0,10,6.2
-4.04,128531,0,35,5.6
-32637,-177479,0,20,5.7
37586,141.65,0,65.5,5.6
22733,121368,0,25,7.1
12194,140638,0,26.3,5.8
12117,140757,0,25,5.9
32928,137.82,0,344.1,6.3
-6164,71374,0,15,5.9
1584,122452,0,422.7,5.7
9507,126415,0,35,6.3
9526,126196,0,35,6.1
-5897,151013,0,45,6.3
-5603,154093,0,75,5.7
51955,-177212,0,70,5.5
-36391,179575,0,70,5.8
-16212,-173889,0,109.1,6.4
3204,128182,0,65,6.1
-20624,-69119,0,95.8,5.6
13255,145.77,0,25,5.7
-6626,116161,0,554.4,6.1
8103,126317,0,84.8,5.8
47914,154053,0,45,5.6
-4178,133149,0,17.5,5.7
32449,132269,0,34.2,7.5
32241,132136,0,30,6.8
51359,176.55,0,36.4,5.9
33.1798333,-116103,0,10,6.6
33514,141763,0,24.2,5.6
-42.68,-16088,0,10,5.8
-15676,-172705,0,15,6.3
38621,143286,0,25,6.3
58645,-150086,0,20.1,6.2
-15575,-172.91,0,30,6.2
37.2953333,-116.4556667,1,1.2,5.63
18462,-103528,0,30,6.1
44757,174533,0,15,5.5
18682,-69641,0,82.3,5.9
-6348,129915,0,125.3,5.7
25191,124636,0,97.4,5.7
6741,-73002,0,159.4,5.7
-58011,157724,0,15,5.6
43597,-128135,0,10,6.4
-5348,-81835,0,18.8,5.7
-6.34,147107,0,50,5.8
29938,129445,0,160.1,6.7
-15894,26113,0,25.7,5.6
-29787,-179035,0,20,5.6
40.86,143435,0,29.9,8.2
