Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Susuz Yaz,Metin Erksan,8.0,3171,"
Drama            ",(1963)
Incir Reçeli 2,Aytaç Agirlar,6.1,3157,"
Drama, Romance            ",(2014)
Yol Ayrimi,Yavuz Turgul,6.7,3079,"
Drama            ",(2017)
Gülen Adam,Kartal Tibet,7.0,3071,"
Comedy, Drama, Romance            ",(1990)
Selamsiz Bandosu,Nesli Çölgeçen,7.8,3062,"
Comedy, Drama, Music            ",(1987)
Insaat,Ömer Vargi,7.2,3053,"
Comedy, Crime, Drama            ",(2003)
Istanbul Kanatlarimin Altinda,Mustafa Altioklar,7.1,3053,"
Adventure, Drama, History            ",(1996)
Anayurt Oteli,Ömer Kavur,7.7,2900,"
Crime, Drama, Thriller            ",(1987)
Bizim Büyük Çaresizligimiz,Seyfi Teoman,6.9,2889,"
Drama            ",(2011)
Fort Bliss,Claudia Myers,6.4,2786,"
Drama, War            ",(2014)
Sabaniye,Kartal Tibet,6.3,2786,"
Comedy, Drama, Romance            ",(1984)
Garip,Memduh Ün,7.1,2777,"
Comedy, Drama            ",(I) (1986)
Komser Sekspir,Sinan Çetin,5.8,2773,"
Comedy, Drama            ",(2000)
Umut,Serif Gören,8.2,2757,"
Drama            ",(1970)
Üçüncü Sayfa,Zeki Demirkubuz,7.4,2739,"
Drama            ",(1999)
Içimdeki Ses,Cagri Bayrak,6.0,2736,"
Comedy, Drama            ",(2015)
Celal Tan ve Ailesinin Asiri Acikli Hikayesi,Onur Ünlü,6.5,2730,"
Comedy, Crime, Drama            ",(2011)
Hayat Var,Reha Erdem,7.4,2702,"
Drama            ",(2008)
Aile Serefi,Orhan Aksoy,8.1,2688,"
Drama, Family            ",(1976)
Kaç Para Kaç,Reha Erdem,7.6,2662,"
Drama            ",(1999)
Tatar Ramazan,Melih Gülgen,8.1,2650,"
Drama, Romance            ",(1990)
Deli Deli Küpeli,Kartal Tibet,7.3,2640,"
Comedy, Drama            ",(1986)
Süt,Semih Kaplanoglu,6.7,2638,"
Drama            ",(2008)
Ask Sana Benzer,A. Taner Elhan,3.8,2620,"
Drama            ",(2015)
Sosyete Saban,Kartal Tibet,7.0,2607,"
Comedy, Drama, Family            ",(1985)
Abluka,Emin Alper,7.3,2580,"
Drama            ",(2015)
Egreti gelin,Atif Yilmaz,6.2,2579,"
Drama            ",(2005)
Ask Filmlerinin Unutulmaz Yönetmeni,Yavuz Turgul,7.8,2550,"
Comedy, Drama            ",(1990)
Çiçero,Serdar Akar,6.6,2523,"
Action, Crime, Drama            ",(2019)
Kilibik,Ugur Inan,7.1,2506,"
Comedy, Drama            ",(1983)
Selam,Levent Demirkale,6.8,2494,"
Drama, Romance            ",(2013)
Davaci,Zeki Ökten,7.2,2490,"
Comedy, Drama            ",(1986)
Harem Suare,Ferzan Ozpetek,6.2,2485,"
Drama, History            ",(1999)
Çarikli Milyoner,Kartal Tibet,6.8,2466,"
Comedy, Drama, Romance            ",(1983)
Kanli Nigar,Memduh Ün,7.2,2463,"
Comedy, Drama            ",(1981)
Dar Alanda Kisa Paslasmalar,Serdar Akar,7.4,2455,"
Drama, Sport            ",(2000)
Kurtlar Vadisi: Vatan,Serdar Akar,4.5,2432,"
Action, Crime, Drama            ",(2017)
Itiraf,Zeki Demirkubuz,7.1,2429,"
Drama            ",(2002)
Kiskanmak,Zeki Demirkubuz,6.7,2423,"
Drama            ",(2009)
Tepenin Ardi,Emin Alper,7.3,2414,"
Drama, Mystery            ",(2012)
Beyza'nin Kadinlari,Mustafa Altioklar,6.2,2376,"
Crime, Drama, Mystery            ",(2006)
Zenne Dancer,Caner Alper,7.2,2361,"
Biography, Drama, Romance            ",(2012)
Hadi Be Oglum,Bora Egemen,7.1,2342,"
Drama            ",(2018)
O simdi asker,Mustafa Altioklar,4.8,2328,"
Comedy, Drama            ",(2003)
Ya Sonra?,Özcan Deniz,5.2,2304,"
Comedy, Drama, Romance            ",(2011)
Kocan Kadar Konus: Dirilis,Kivanç Baruönü,5.9,2302,"
Comedy, Drama, Fantasy            ",(2016)
Fakat Müzeyyen Bu Derin Bir Tutku,Çigdem Vitrinel,6.6,2292,"
Drama, Romance            ",(2014)
Azize: Bir Laleli Hikayesi,Kudret Sabanci,7.0,2270,"
Crime, Drama, Thriller            ",(1999)
Talih Kusu,Kartal Tibet,7.1,2258,"
Comedy, Drama            ",(1989)
Gurbetçi Saban,Kartal Tibet,6.7,2254,"
Family, Comedy, Drama            ",(1985)
Filler ve Çimen,Dervis Zaim,7.1,2237,"
Drama, Thriller            ",(2000)
