Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Gizli Yüz,Ömer Kavur,7.4,649,"
Drama, Romance            ",(1991)
O kadin,Korhan Bozkurt,5.5,621,"
Drama, Music, Romance            ",(2007)
Bana Adini Sor,Taner Gündöner,5.7,609,"
Drama, Romance            ",(2015)
Bir Ask Iki Hayat,Ali Bilgin,6.3,608,"
Drama, Romance            ",(2019)
Kedi Özledi,Mustafa Sevki Dogan,5.0,575,"
Comedy, Drama, Romance            ",(2013)
Kampüste çiplak ayaklar,Cansel Elcin,4.7,571,"
Drama, Romance            ",(2009)
Git Basimdan,Sahin Altug,5.1,553,"
Comedy, Fantasy, Romance            ",(2015)
Durusma,Yalçin Yelence,5.7,535,"
Family, Comedy, Romance            ",(1999)
Deniz Seviyesi,Nisan Dag,6.3,527,"
Comedy, Drama, Romance            ",(2014)
Sevgili dayim,Zeki Ökten,7.0,523,"
Comedy, Romance            ",(1977)
Dünyanin En Güzel Kokusu 2,Mustafa Ugur Yagcioglu,5.5,519,"
Drama, Romance            ",(2017)
Rina,Senol Sönmez,5.9,514,"
Comedy, Drama, Romance            ",(2010)
Adab-i Muaseret,Emre Akay,3.3,510,"
Comedy, Romance            ",(2009)
Fahriye Abla,Yavuz Turgul,7.2,508,"
Drama, Romance            ",(1984)
We'll Get Back to You,Doga Can Anafarta,6.3,504,"
Comedy, Drama, Romance            ",(2017)
Umutsuzlar,Yilmaz Güney,7.2,491,"
Crime, Drama, Romance            ",(1971)
Hasret,Zeki Ökten,6.4,479,"
Drama, Romance            ",(1974)
Sezercik aslan parcasi,Memduh Ün,4.7,476,"
Drama, Romance            ",(1972)
Akrebin yolculugu,Ömer Kavur,7.3,459,"
Drama, Mystery, Romance            ",(1997)
Saskin,Sahin Alparslan,4.6,457,"
Comedy, Romance            ",(2006)
Damat Takimi,Doga Can Anafarta,5.6,450,"
Comedy, Romance            ",(2017)
Ask Olsun,Neslihan Yidiz Alak,5.3,438,"
Comedy, Romance            ",(2015)
Süpürrr!,Yesim Sezgin,3.1,436,"
Comedy, Romance            ",(2009)
Bosver arkadas,Zeki Ökten,7.0,432,"
Drama, Romance            ",(1974)
Mavi mavi,Ibrahim Tatlises,3.3,426,"
Romance            ",(1985)
Bodrum hakimi,Türkan Soray,6.7,409,"
Drama, Romance            ",(1976)
Tatli Bela,Cem Sürücü,5.8,406,"
Comedy, Romance            ",(2018)
Senede bir gün,Ertem Egilmez,7.0,382,"
Drama, Romance, War            ",(1971)
Bak yesil yesil,Hulki Saner,5.8,372,"
Comedy, Romance            ",(1975)
Öldür Beni Sevgilim,Senol Sönmez,5.1,369,"
Comedy, Romance            ",(2019)
Üç arkadas,Memduh Ün,6.9,365,"
Comedy, Drama, Romance            ",(1972)
Let the Music Play,Nesli Çölgeçen,5.8,363,"
Comedy, Drama, Romance            ",(2015)
Istasyon,Serif Gören,6.8,361,"
Comedy, Drama, Romance            ",(1977)
Rauf,Soner Caner,6.8,351,"
Drama, Family, Romance            ",(2016)
Aci hayat,Metin Erksan,6.9,348,"
Drama, Romance            ",(1962)
Hülya,Ibrahim Tatlises,2.7,347,"
Romance            ",(1988)
El Degmemis Ask,Umut Kirca,5.7,344,"
Comedy, Family, Romance            ",(2016)
Arada,Mu Tunc,5.7,336,"
Drama, Music, Romance            ",(I) (2018)
Ilk Öpücük,Murat Onbul,5.2,333,"
Comedy, Romance            ",(2017)
Yedi Kocali Hürmüz,Atif Yilmaz,6.9,329,"
Comedy, Romance            ",(1971)
Bir Yudum Sevgi,Atif Yilmaz,7.1,328,"
Drama, Romance            ",(1984)
Seven ne yapmaz,Orhan Aksoy,6.0,317,"
Drama, Romance            ",(1970)
