Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Kolpaçino: Bomba,Safak Sezer,5.5,4656,"
Adventure, Comedy            ",(2011)
O... Çocuklari,Murat Saraçoglu,6.4,4631,"
Comedy, Drama            ",(2008)
Sag Salim,Ersoy Güler,6.5,4626,"
Comedy            ",(2012)
Yüz Numarali Adam,Osman F. Seden,7.8,4617,"
Comedy            ",(1978)
Hababam Sinifi Güle Güle,Ertem Egilmez,6.5,4607,"
Comedy            ",(1981)
Günesin Oglu,Onur Ünlü,7.1,4588,"
Comedy, Fantasy            ",(2008)
Sen Kimsin?,Ozan Açiktan,5.1,4565,"
Comedy, Crime            ",(2012)
Sahte Kabadayi,Natuk Baytan,7.7,4477,"
Comedy            ",(1976)
Eksi Elmalar,Yilmaz Erdogan,7.1,4375,"
Biography, Comedy, Drama            ",(2016)
Tokatçi,Natuk Baytan,7.8,4357,"
Comedy, Crime            ",(1983)
Romantik Komedi,Ketche,5.3,4303,"
Comedy, Romance            ",(2010)
7 Kocali Hürmüz,Ezel Akay,6.3,4301,"
Comedy            ",(2009)
Maskeli Besler: Intikam Pesinde,Murat Aslan,4.2,4246,"
Comedy, Crime            ",(2005)
G.D.O. Kara Kedi,Murat Aslan,5.3,4193,"
Action, Comedy            ",(2013)
Yol Arkadasim,Bedran Güzel,6.1,4130,"
Comedy            ",(2017)
Mayis Sikintisi,Nuri Bilge Ceylan,7.4,4048,"
Comedy, Drama            ",(1999)
Maskeli Besler: Kibris,Murat Aslan,2.9,4038,"
Comedy            ",(2008)
Kocan Kadar Konus,Kivanç Baruönü,6.3,3978,"
Comedy, Drama, Fantasy            ",(2015)
Üç Kagitçi,Natuk Baytan,7.7,3918,"
Comedy            ",(1981)
Kutsal Damacana 2: Itmen,Korhan Bozkurt,2.8,3876,"
Action, Comedy, Fantasy            ",(2010)
Ay Lav Yu,Sermiyan Midyat,5.5,3864,"
Comedy            ",(2010)
Ortadirek Saban,Kartal Tibet,7.3,3857,"
Comedy            ",(1984)
Atla Gel Saban,Natuk Baytan,7.6,3815,"
Comedy, Crime, Drama            ",(1984)
Çok Filim Hareketler Bunlar,Ozan Açiktan,4.3,3782,"
Comedy            ",(2010)
Borç Harç,Efe Hizir,1.4,3739,"
Comedy            ",(2019)
Maskeli Besler: Irak,Murat Aslan,3.6,3542,"
Adventure, Comedy            ",(2007)
Çalgi Çengi Ikimiz,Selçuk Aydemir,5.7,3525,"
Comedy            ",(2017)
Çiplak Vatandas,Basar Sabuncu,7.5,3518,"
Comedy, Drama            ",(1985)
Hadi Insallah,Ali Taner Baltaci,5.5,3484,"
Comedy            ",(2014)
Sans Kapiyi Kirinca,Tayfun Güneyer,6.2,3482,"
Comedy            ",(2005)
Hanzo,Zeki Ökten,6.5,3480,"
Comedy            ",(1975)
Kardesim Benim,Mert Baykal,6.0,3466,"
Comedy, Drama            ",(2016)
Inek Saban,Osman F. Seden,7.7,3431,"
Comedy, Family, Romance            ",(1978)
Çilgin Dersane,Faruk Aksoy,1.9,3413,"
Comedy            ",(2007)
Dokunmayin Sabanima,Osman F. Seden,7.3,3403,"
Comedy, Romance            ",(1979)
Mutluluk Zamani,Senol Sönmez,7.0,3374,"
Comedy, Romance            ",(2017)
Ah Nerede,Orhan Aksoy,7.6,3370,"
Comedy, Romance            ",(1975)
Sihirbazlik Okulunda Bir Türk,Erdi Dikmen,2.1,3365,"
Comedy            ",(2015)
Milyarder,Kartal Tibet,7.6,3345,"
Comedy, Drama            ",(1986)
Kanal-i-zasyon,Alper Mestçi,5.1,3339,"
Comedy            ",(2009)
Hükümet Kadin 2,Sermiyan Midyat,6.1,3302,"
Comedy            ",(2013)
Merakli Köfteci,Ergin Orbey,7.3,3293,"
Comedy, Drama            ",(1976)
Sark Bülbülü,Kartal Tibet,7.6,3292,"
Comedy, Drama            ",(1979)
Avanak Apti,Natuk Baytan,7.1,3229,"
Comedy            ",(1978)
Postaci,Memduh Ün,7.1,3208,"
Comedy, Drama            ",(1984)
Cebimdeki Yabanci,Serra Yilmaz,7.1,3179,"
Comedy, Drama            ",(2018)
Mandira Filozofu,Müfit Can Saçinti,6.7,3166,"
Comedy            ",(2013)
Deliha,Hakan Algül,4.6,3145,"
Comedy, Family, Romance            ",(2014)
Okul,Durul Taylan,4.0,3096,"
Comedy, Horror            ",(2004)
Cingöz Recai,Onur Ünlü,5.0,3075,"
Action, Comedy, Crime            ",(2017)
Gülen Adam,Kartal Tibet,7.0,3071,"
Comedy, Drama, Romance            ",(1990)
Selamsiz Bandosu,Nesli Çölgeçen,7.8,3062,"
Comedy, Drama, Music            ",(1987)
Insaat,Ömer Vargi,7.2,3053,"
Comedy, Crime, Drama            ",(2003)
Katma Deger Saban,Kartal Tibet,6.7,3049,"
Comedy            ",(1985)
Entelköy Efeköy'e Karsi,Yüksel Aksu,6.6,2989,"
Comedy            ",(2011)
