Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Otostop,Sami Güçlü,2.8,56,"
Crime            ",(1996)
Akrep Yuvasi,Melih Gülgen,6.0,55,"
Action, Crime, Thriller            ",(1977)
Trust,Sefa Ozturk,6.0,53,"
Crime, Drama            ",(VII) (2018)
Gazap rüzgari,Orhan Aksoy,6.3,53,"
Crime, Drama, Romance            ",(1982)
Çirkin Kral afetmez,Yilmaz Atadeniz,7.1,52,"
Adventure, Crime, Drama            ",(1967)
Diamond Connection,Sergio Bergonzelli,4.6,52,"
Action, Adventure, Crime            ",(1984)
Sokaklarin kanunu,Aram Gülyüz,6.9,52,"
Crime, Drama            ",(1964)
Dört hergele,Yilmaz Atadeniz,5.5,51,"
Action, Crime, Drama            ",(1974)
Vazife ugruna,Orhan Elmas,4.8,51,"
Action, Crime            ",(1986)
Bersaglio altezza uomo,Guido Zurli,5.4,50,"
Action, Crime, Thriller            ",(1978)
Derin Düsün-ce,Çagatay Tosun,5.6,49,"
Crime, Drama, Family            ",(2013)
Tövbekar,Ertem Göreç,5.5,46,"
Action, Crime, Drama            ",(1977)
Satilmis adam,Remzi Jöntürk,5.5,46,"
Action, Crime, Drama            ",(1977)
Safakta Bulusalim,Orhan Aksoy,5.8,45,"
Crime, Drama, Romance            ",(1975)
Aidiyet,Burak Cevik,6.3,44,"
Crime, Drama, Romance            ",(2019)
Istanbul'un kizlari,Halit Refig,6.2,43,"
Crime, Drama            ",(1964)
Babacan,Natuk Baytan,5.5,42,"
Action, Adventure, Crime            ",(1975)
Lodos,Didem Erayda,5.7,42,"
Crime, Drama            ",(2009)
Sevgili oglum,Cüneyt Arkin,5.4,42,"
Crime, Drama            ",(1977)
Ben öldükçe yasarim,Duygu Sagiroglu,7.3,40,"
Crime, Drama, Romance            ",(1965)
Arap Bilo,Zafer Par,3.2,38,"
Comedy, Crime            ",(1986)
Babanin Oglu,Melih Gülgen,6.0,35,"
Crime, Drama            ",(1975)
Soför,Orhan Aksoy,6.0,35,"
Crime, Drama, Romance            ",(1976)
Kral affetmez,Cüneyt Arkin,5.7,35,"
Action, Crime            ",(1986)
Maceralar krali,Hulki Saner,6.6,33,"
Crime, Drama            ",(1963)
Yakut gözlü kedi,Nejat Saydam,5.6,32,"
Adventure, Crime, Drama            ",(1966)
Duvarlarin ötesi,Orhan Elmas,7.2,32,"
Crime, Drama            ",(1964)
Emanet,Orhan Elmas,3.9,32,"
Crime, Drama            ",(I) (1988)
Benim adim Kerim,Kemal Dilbaz,6.6,31,"
Adventure, Crime            ",(1967)
Melek yüzlü cani,Cüneyt Arkin,3.4,31,"
Crime            ",(1986)
Kelepçe,Çetin Inanç,4.7,30,"
Action, Crime            ",(1982)
Casus Kiran - 7 canli adam,Yilmaz Atadeniz,7.3,30,"
Action, Adventure, Crime            ",(1970)
Üç tatli bela,Cüneyt Arkin,4.2,30,"
Action, Comedy, Crime            ",(1979)
Kiralik oda,Murat Ergun,3.5,29,"
Action, Crime, Thriller            ",(2008)
L'amico del padrino,Frank Agrama,5.8,29,"
Action, Crime, Thriller            ",(1972)
Kadere Tutsak,Erdogan Koç,5.7,28,"
Crime, Drama, Horror            ",(2016)
Kanun gücü,Cüneyt Arkin,6.2,28,"
Adventure, Crime, Drama            ",(1979)
Altin Çocuk,Memduh Ün,6.9,28,"
Adventure, Crime            ",(1966)
Belanin yedi türlüsü,Nuri Ergün,6.1,28,"
Adventure, Crime, Drama            ",(1969)
Utaniyorum,Melih Gülgen,5.2,26,"
Crime, Drama            ",(1984)
Hangi Film,Egemen Sancak,7.2,26,"
Crime, Drama            ",(2011)
Kiskivrak,Halit Refig,5.6,26,"
Adventure, Crime, Drama            ",(1986)
Sarisin tehlike,Aram Gülyüz,3.4,26,"
Action, Crime            ",(1980)
Eyvah,Metin Erksan,5.5,26,"
Adventure, Crime, Drama            ",(1970)
Tehdit: Siber Coküs,Kadioglu Hakan,6.4,25,"
Action, Adventure, Crime            ",(2016)
Yedi uyuyanlar,Zafer Par,4.3,25,"
Action, Adventure, Crime            ",(1988)
Kizil maske,Çetin Inanç,5.9,24,"
Adventure, Crime, Fantasy            ",(I) (1968)
Katil,Lütfi Akad,6.5,24,"
Adventure, Crime, Drama            ",(1953)
Çifte yürekli,Semih Evin,6.1,23,"
Action, Adventure, Crime            ",(1970)
Kavgamiz,Melih Gülgen,5.5,22,"
Action, Crime, Drama            ",(1990)
Siyahli kadin,Süreyya Duru,6.9,22,"
Crime, Drama, Mystery            ",(1966)
Belali hayat,Ertem Göreç,5.0,22,"
Crime, Drama            ",(1968)
Kan su gibi akacak,Mehmet Aslan,6.3,21,"
Adventure, Crime, Drama            ",(1969)
Lo scoiattolo,Guido Zurli,7.5,21,"
Crime, Mystery, Thriller            ",(1979)
Polizia selvaggia,Guido Zurli,5.3,19,"
Action, Crime, Thriller            ",(1977)
Siyah otomobil,Aram Gülyüz,7.2,19,"
Crime, Drama            ",(1966)
Silahlarin sesi,Kemal Kan,5.8,19,"
Adventure, Crime            ",(1965)
Kizil maske,Tolgay Ziyal,6.1,19,"
Adventure, Crime, Fantasy            ",(II) (1968)
Rifat diye biri,Ertem Göreç,6.5,19,"
Thriller, Crime            ",(1962)
Sahtekar,Zafer Par,3.4,18,"
Comedy, Crime            ",(1986)
Itham ediyorum,Orhan Elmas,4.7,18,"
Crime, Drama            ",(1972)
Krallar ölmez,Ertem Göreç,6.6,18,"
Adventure, Crime            ",(1967)
Kizimin Kani,Halit Refig,4.8,17,"
Adventure, Crime, Drama            ",(1987)
Ölüm tarlasi,Atif Yilmaz,5.2,17,"
Crime, Drama            ",(1966)
Cehennem arkadaslari,Tarik Dursun Kakinç,4.8,17,"
Crime            ",(1964)
Ates çemberi,Cüneyt Arkin,4.6,17,"
Crime, Thriller            ",(1985)
Kanun kanundur,Aykut Düz,4.6,16,"
Adventure, Crime            ",(1984)
Çiglik,Aydin Arakon,7.5,16,"
Crime, Mystery, Thriller            ",(1949)
Bire on vardi,Memduh Ün,6.9,16,"
Crime, Thriller            ",(1963)
Sokakta kan vardi,Vedat Türkali,6.6,16,"
Drama, Crime            ",(1965)
Ask ve yumruk,Aram Gülyüz,5.8,16,"
Action, Crime            ",(1961)
Istanbul macerasi,Carl Möhner,5.1,16,"
Adventure, Crime            ",(1958)
O bir melekti,Orhan Elmas,3.5,15,"
Crime, Drama            ",(1987)
Istanbul dehset içinde,Ilhan Engin,6.7,15,"
Adventure, Crime            ",(1966)
Asilana kadar yasayacaksin,Nejat Okçugil,4.4,15,"
Adventure, Crime            ",(1972)
Son vurgun,Ertem Göreç,3.9,15,"
Adventure, Crime            ",(1968)
Gönül kusu,Hayri Gülnar,6.3,14,"
Crime, Drama            ",(1965)
Büyük cellatlar,Yilmaz Duru,6.0,14,"
Adventure, Crime, Drama            ",(1967)
Silahlari ellerinde öldüler,Feyzi Tuna,8.2,13,"
Adventure, Crime, Drama            ",(1967)
"Geceyarisi, Türkiye zamani",Emin Akpinar,4.3,12,"
Crime, Drama            ",(2017)
Korkunç tecavüz,Ertem Göreç,5.1,12,"
Crime, Horror, Thriller            ",(1972)
Kabadayinin sonu,Nejat Okçugil,4.5,12,"
Crime, Drama            ",(1973)
Cehennemin bes delisi,Mehmet Aslan,6.6,12,"
Adventure, Crime            ",(1972)
Sayili dakikalar,Atif Yilmaz,7.2,12,"
Crime, Thriller            ",(1965)
Beyoglu canavari,Ertem Göreç,5.8,12,"
Action, Drama, Crime            ",(1968)
Tehlikeli Adam,Hasan Kazankaya,6.8,12,"
Adventure, Crime            ",(1965)
Çetrefilli,Tolga Kadioglu,4.7,11,"
Crime            ",(2017)
Babalarin Günahi,Mehmet Aslan,4.5,11,"
Crime, Drama            ",(1973)
Dehset gecesi,Orhan Aksoy,5.4,11,"
Action, Adventure, Crime            ",(1989)
Qirej,Yusuf Çetin,4.0,11,"
Action, Crime, Drama            ",(2011)
Kirmizi kelebek,Aykut Düz,5.5,11,"
Action, Crime            ",(1982)
Aslan yürekli kabadayi,Memduh Ün,6.2,11,"
Adventure, Crime            ",(1967)
Katiller de aglar,Ülkü Erakalin,5.7,11,"
Adventure, Crime            ",(1966)
Disi örümcek,Süreyya Duru,6.6,11,"
Action, Crime, Drama            ",(1963)
Yedi adim sonra,Yücel Uçanoglu,6.7,11,"
Adventure, Crime            ",(1968)
Sürgünden geliyorum,Fikret Hakan,4.5,11,"
Drama, Crime            ",(1971)
Çilgin Arzular,Süreyya Duru,3.6,10,"
Adventure, Crime            ",(1974)
Sah Mat,Yilmaz Atadeniz,7.0,10,"
Adventure, Crime, Thriller            ",(1990)
Çildirtan kadin,Çetin Inanç,4.4,10,"
Crime            ",(1978)
Siyah eldivenli adam,Mehmet Aslan,4.2,10,"
Action, Crime, Romance            ",(1973)
Ecel teri,Semih Evin,5.7,10,"
Adventure, Crime            ",(1970)
Kanun benim,Ertem Göreç,6.7,10,"
Adventure, Crime            ",(1966)
Zehir hafiye,Arsevir Alyanak,5.8,10,"
Adventure, Crime            ",(1963)
Ölüm pesimizde,Memduh Ün,6.4,10,"
Crime, Drama            ",(1960)
Bombala oski bombala,Çetin Inanç,5.9,10,"
Action, Adventure, Crime            ",(1972)
Oteldeki cinayet,Aykut Düz,7.0,10,"
Crime, Thriller            ",(1986)
Kader rüzgari,Yilmaz Atadeniz,3.1,9,"
Crime, Drama            ",(1986)
Diger yol - Bir Trabzon filmi,Oguz Cicek,6.9,9,"
Crime, Drama            ",(2012)
Yuvanin bekçileri,Osman F. Seden,6.7,9,"
Adventure, Crime, Drama            ",(1977)
Aliii,Çetin Karamanbey,4.4,9,"
Crime, Drama            ",(1960)
On küçük seytan,Tunç Basaran,5.2,9,"
Adventure, Comedy, Crime            ",(1971)
Suya düsen hayal,Orhan Elmas,5.7,9,"
Crime, Drama, Thriller            ",(1972)
In der Hölle ist noch Platz,Ernst Ritter von Theumer,7.1,9,"
Adventure, Crime            ",(1961)
Intikam kadini,Naki Yurter,4.5,8,"
Crime, Thriller            ",(1979)
Damga,Orhan Elmas,5.1,8,"
Adventure, Crime, Drama            ",(1987)
Baba Ocagi,Melih Gülgen,4.8,8,"
Comedy, Crime            ",(1977)
Günahkarlar,Egemen Sancak,7.1,8,"
Crime, Drama            ",(2013)
Ben böyle dogdum,Tunç Basaran,6.6,8,"
Adventure, Crime, Drama            ",(1973)
Sevdalim,Salih Dikisçi,7.0,8,"
Crime            ",(1980)
Kursun Memed,Melih Gülgen,6.4,8,"
Action, Crime            ",(1971)
Beyoglu esrari,Türker Inanoglu,5.1,8,"
Adventure, Crime            ",(1966)
Kursunla selamlarim,Feyzi Tuna,4.9,8,"
Crime            ",(1973)
Killing caniler krali,Yilmaz Atadeniz,5.1,8,"
Adventure, Crime            ",(1967)
Ölümden korkmuyorum,Nazmi Özer,6.1,8,"
Crime, Drama            ",(1972)
Seni seviyorum,Yilmaz Atadeniz,1.0,7,"
Crime, Drama, Romance            ",(1986)
Çember,Avni Kütükoglu,4.3,7,"
Crime            ",(2000)
Ölüm saati,Ertem Göreç,6.6,7,"
Adventure, Crime            ",(1967)
Seref kavgasi,Mehmet Aslan,8.4,7,"
Crime, Drama            ",(1966)
Beyoglu'nda vurusanlar,Ertem Göreç,4.3,7,"
Adventure, Crime            ",(1966)
Günes dogmasin,Memduh Ün,7.1,7,"
Crime, Drama            ",(1961)
Tek kursun,Feyzi Tuna,6.1,7,"
Crime, Drama            ",(1968)
