A,B,,
61.3,54.6,,
61.3,55.7,,
61.3,56.5,,
61.3,56.5,,
61.3,48.4,,
61.2,53.4,,
61.2,54.3,,
61.2,49.8,,
61.2,52.8,,
61.2,55,,
61.2,50.9,,
61.1,45.5,,
61.1,51.6,,
61,54.2,,
61,38.9,,
61,36.2,,
61,54.8,,
61,54,,
61,50.6,,
60.9,54.1,,
60.9,51.3,,
60.9,53.4,,
60.9,51,,
60.9,53.5,,
60.8,35.1,,
60.8,54.9,,
60.8,47.8,,
60.7,40.6,,
60.7,52.2,,
60.7,54.8,,
60.7,55.7,,
60.7,53,,
60.6,51.6,,
60.6,41.1,,
60.6,45.6,,
60.6,44,,
60.6,57.5,,
60.6,50.5,,
60.6,48.8,,
60.6,45.5,,
60.5,54.9,,
60.5,45.9,,
60.5,44.8,,
60.5,58.1,,
60.5,48.9,,
60.5,54.3,,
60.4,45,,
60.4,46.7,,
60.4,55.5,,
60.4,49,,
60.4,52.8,,
60.3,43.2,,
60.3,54.4,,
60.3,51.8,,
60.3,53.7,,
60.2,45.6,,
60.2,45.9,,
60.2,46.9,,
60.2,54.1,,
60.2,53.6,,
60.2,55,,
60.2,48.3,,
60.2,47.6,,
60.2,53.9,,
60.1,44.1,,
60.1,43.2,,
60.1,55,,
60.1,55.5,,
60.1,53.4,,
60.1,50.7,,
60.1,43.9,,
60.1,50.8,,
60.1,55.1,,
60.1,50.3,,
60.1,49.4,,
60.1,39.3,,
60.1,46,,
60.1,46.6,,
60,40.7,,
60,54.1,,
60,34.9,,
60,51.3,,
60,54.1,,
60,43.4,,
60,50.5,,
60,48.3,,
60,52.3,,
59.9,54.3,,
59.9,52,,
59.9,48.4,,
59.9,49.7,,
59.9,51.8,,
59.9,53.3,,
59.9,50.4,,
59.9,47.9,,
59.9,55.1,,
59.9,49.5,,
59.9,44.9,,
59.9,51.2,,
59.9,48.4,,
59.8,51.8,,
59.8,52.8,,
59.8,47.4,,
59.8,48.6,,
59.8,53.3,,
59.7,45.2,,
59.7,44.1,,
59.7,47,,
59.7,50.3,,
59.7,50.2,,
59.7,53.3,,
59.7,38.4,,
59.7,36.6,,
59.7,54.7,,
59.7,54.3,,
59.7,55.3,,
59.7,51.3,,
59.7,49.5,,
59.6,46.6,,
59.6,47.5,,
59.6,40,,
59.6,39.2,,
59.5,52.2,,
59.5,49,,
59.5,42.2,,
59.5,48.2,,
59.5,48.9,,
59.5,54.8,,
59.5,48.3,,
59.5,49.8,,
59.5,42.1,,
59.4,49.4,,
59.3,50.6,,
59.3,49.6,,
59.3,46.8,,
59.3,47.9,,
59.3,49.7,,
59.3,46.7,,
59.3,34.9,,
59.3,44.5,,
59.2,47.1,,
59.2,45.7,,
59.2,51.6,,
59.2,52.2,,
59.2,51.5,,
59.2,53.3,,
59.2,45.8,,
59.2,37.4,,
59.2,47.4,,
59.2,41.7,,
59.2,46.3,,
59.1,55.6,,
59.1,53.9,,
59.1,48.2,,
59.1,50.6,,
59.1,34.7,,
59.1,50.2,,
59.1,51.2,,
59.1,36.6,,
59.1,49.8,,
59,35.3,,
59,42.8,,
59,52.5,,
59,49.2,,
59,43,,
59,51.8,,
59,49.6,,
58.9,53.8,,
58.9,48,,
58.9,51.9,,
58.9,40.5,,
58.9,50.8,,
58.9,51.4,,
58.9,44.5,,
58.8,55.3,,
58.8,51.5,,
58.8,49.3,,
58.8,40.4,,
58.8,46.3,,
58.8,43.7,,
58.8,49.2,,
58.8,46.6,,
58.8,49.3,,
58.7,39.2,,
58.7,52.1,,
58.7,51,,
58.7,52.3,,
58.6,46.7,,
58.6,42.1,,
58.6,46.9,,
58.6,41.5,,
58.6,53,,
58.6,49.9,,
58.6,35.4,,
58.6,41.9,,
58.6,48,,
58.6,46.6,,
58.6,51.1,,
58.5,46.8,,
58.5,44.1,,
58.5,53.7,,
58.5,54.8,,
58.5,48.2,,
58.5,39.2,,
58.5,52.9,,
58.5,42.5,,
58.5,51.8,,
58.5,53.4,,
58.5,55.1,,
58.5,55,,
58.5,39.3,,
58.4,47.3,,
58.4,40.7,,
58.4,46.1,,
58.4,53.7,,
58.4,40.4,,
58.4,53.5,,
58.4,52.6,,
58.4,53.1,,
58.4,47.8,,
58.3,45.2,,
58.3,36.6,,
58.3,47,,
58.3,44.9,,
58.3,56.6,,
58.2,44,,
58.2,46.9,,
58.2,50.8,,
58.2,52.5,,
58.2,51.9,,
58.2,43.8,,
58.1,38.1,,
58.1,53.5,,
58.1,45.4,,
58.1,38.1,,
58.1,49.6,,
58.1,48.7,,
58,51.8,,
57.9,43.1,,
57.9,50.1,,
57.9,49.3,,
57.9,47.2,,
57.9,49.8,,
57.9,50.4,,
57.9,46.2,,
57.9,45.5,,
57.9,49,,
57.8,43.6,,
57.8,46.5,,
57.8,47,,
57.8,49.2,,
57.8,40.3,,
57.8,49.6,,
57.8,43.5,,
57.7,41.5,,
57.7,54.1,,
57.7,45.3,,
57.7,56.2,,
57.7,48.8,,
57.7,40.3,,
57.7,43.1,,
57.6,44.8,,
57.6,37.4,,
57.6,44.6,,
57.6,46.7,,
57.6,36.6,,
57.6,48.5,,
57.6,33.9,,
57.6,46,,
57.5,45.4,,
57.5,45.8,,
57.5,44.7,,
57.5,49.9,,
57.4,34.7,,
57.4,43.4,,
57.3,54.8,,
57.3,50.7,,
57.3,52.1,,
